,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
7873,3,2,2,0,7,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1
6515,5,2,4,0,2,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1
6141,2,3,2,0,8,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,2,1
2764,2,0,4,1,5,1,0,0,9,1,1,2,2,3,6,0,2,1,4,3,4,0,0
438,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0
5194,5,3,4,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1
2629,5,0,4,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,3,5,0,0
5976,3,2,2,1,5,1,0,0,1,0,0,2,2,7,7,0,2,2,0,7,1,6,0
4525,2,3,3,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,5,0,1
2375,2,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5,1
6436,5,3,2,0,2,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,4,1
6239,2,2,4,0,8,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,0,1
5228,5,2,0,1,2,1,0,0,10,1,1,2,2,7,7,0,2,1,4,1,3,5,1
6249,2,3,4,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1
6885,5,2,2,0,8,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,0,1
1721,2,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,0,1,0
1739,2,2,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,1
373,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0
7845,5,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,0,1,2,0
5873,2,2,3,1,2,1,0,0,10,1,1,0,2,7,7,0,2,1,4,1,4,5,1
1978,2,0,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1,0
2908,5,0,3,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,2,5,0,0
4462,2,3,3,0,2,1,0,0,7,0,1,1,1,4,4,0,2,1,2,1,5,4,1
5936,5,2,3,1,2,1,0,0,10,1,1,0,0,7,7,0,2,1,4,1,4,5,1
6128,5,2,2,0,2,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,2,1
2510,2,0,2,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,3,5,0,0
7630,3,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,0,4,2,0
6550,3,2,2,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,4,1
4100,5,3,2,0,8,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,0,1
6663,0,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,8,4,2,0
2166,5,3,2,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,3,5,0,0
5288,2,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,4,1
1393,5,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1,0
812,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5,1
1871,2,0,2,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,3,5,0,0
1662,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1,0
6012,5,2,4,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
6201,5,2,4,0,2,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,0,1
2960,5,0,4,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,2,4,0,0
2131,5,0,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,3,1,0
4844,2,3,5,1,5,1,0,0,10,0,0,2,2,2,2,0,2,2,0,7,1,6,0
2517,5,0,2,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,2,5,0,0
3433,2,3,3,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,5,0,0
2345,5,3,3,1,5,1,0,0,9,1,1,2,2,3,6,0,2,1,4,2,4,0,0
4825,2,3,9,0,2,1,0,0,2,0,1,1,1,4,6,0,2,1,2,1,4,0,1
4661,5,2,8,1,2,1,0,0,3,1,1,0,0,7,7,0,2,1,4,1,3,5,1
1755,2,0,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1,0
1747,2,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,5,5,0
921,5,2,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1,0
322,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1,0
3012,2,3,2,1,5,1,0,0,9,1,1,2,2,6,3,0,2,1,4,3,5,0,0
5807,2,2,2,1,5,1,0,0,1,0,0,2,2,2,2,0,2,2,0,7,1,6,0
6279,0,2,8,0,5,1,1,0,7,0,0,1,1,7,7,0,2,2,4,7,3,1,0
6620,2,3,2,0,7,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,0,1
5402,5,3,2,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,0,1
6701,5,2,2,0,8,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1
2173,5,3,3,1,5,1,0,0,5,1,1,2,2,3,7,0,2,1,4,2,4,0,0
5591,2,2,3,1,2,1,0,0,10,1,1,0,0,7,7,0,2,1,4,1,4,1,1
231,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5,1
2495,2,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,1
110,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0
4516,5,3,3,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,4,1,1
1079,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0
2809,5,0,2,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,3,4,0,0
1115,2,0,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,3,1,0
6579,3,3,2,0,8,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,4,1
6832,5,2,2,0,7,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,4,1
1467,5,2,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0,0
7588,3,2,4,0,8,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,4,1
2404,2,3,3,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,2,4,0,0
1578,2,0,3,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1,0
3686,5,0,3,0,2,1,0,0,2,0,1,1,1,6,6,0,2,1,2,1,4,1,1
5542,2,3,9,0,2,1,0,0,2,0,1,1,1,4,4,0,2,1,2,1,5,0,1
7983,5,2,3,0,5,1,1,0,2,0,0,2,1,7,7,0,2,2,4,7,2,1,0
1793,2,0,4,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,3,3,1,0
1450,2,0,4,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,0,1,0
5030,2,0,9,0,2,1,0,0,3,0,1,1,1,6,4,0,2,1,2,1,5,4,1
